X; Y; Z; Reglerwert X; Reglerwert Y; Reglerwert Z; throttle; pitch; roll; yaw
1768; 1939; 45; 0; 0; 10; 140; 0; 0; 0
1768; 1939; 45; 0; 0; 10; 150; 0; 0; 0
1740; 1942; 34; 0; 0; 10; 150; 0; 0; 0
1768; 1939; 45; 0; 0; 10; 150; 0; 0; 0
1768; 1939; 45; 0; 0; 10; 150; 0; 0; 0
1764; 1938; 56; 0; 0; 10; 150; 0; 0; 0
1739; 1933; 77; 0; 0; 10; 150; 0; 0; 0
1587; 1909; 33; 0; 0; 10; 150; 0; 0; 0
1587; 1909; 33; 0; 0; 10; 150; 0; 0; 0
1474; 1921; 20; 0; 0; 10; 150; 0; 0; 0
1742; 2010; 234; 0; 0; -10; 150; 0; 0; 0
1701; 2030; 268; 0; 0; 10; 130; 0; 0; 0
1701; 2030; 268; 0; 0; 10; 150; 0; 0; 0
1692; 2074; 311; 0; 0; 10; 150; 0; 0; 0
1696; 2112; 349; 0; 0; 10; 150; 0; 0; 0
1708; 2160; 387; 0; 0; 10; 150; 0; 0; 0
1708; 2160; 387; 0; 0; 10; 150; 0; 0; 0
1697; 2212; 403; 0; 0; 10; 150; 0; 0; 0
1739; 2255; 438; 0; 0; 10; 150; 0; 0; 0
1714; 2287; 449; 0; 0; 10; 150; 0; 0; 0
1714; 2287; 449; 0; 0; 10; 150; 0; 0; 0
1716; 2314; 468; 0; 0; 10; 150; 0; 0; 0
1770; 2332; 508; 0; 0; 6; 150; 0; 0; 0
1746; 2346; 523; 0; 0; 10; 146; 0; 0; 0
1746; 2346; 523; 0; 0; 10; 150; 0; 0; 0
1681; 2344; 523; 0; 0; 10; 150; 0; 0; 0
1803; 2355; 588; 0; 0; -3; 150; 0; 0; 0
1832; 2343; 623; 0; 0; 4; 137; 0; 0; 0
1843; 2328; 658; 0; 0; 2; 144; 0; 0; 0
1843; 2328; 658; 0; 0; 10; 142; 0; 0; 0
1776; 2282; 656; 0; 0; 10; 150; 0; 0; 0
1811; 2253; 679; 0; 0; 5; 150; 0; 0; 0
1841; 2215; 690; 0; 0; 8; 145; 0; 0; 0
1841; 2215; 690; 0; 0; 10; 148; 0; 0; 0
1838; 2171; 687; 0; 0; 10; 150; 0; 0; 0
1813; 2130; 668; 0; 0; 10; 150; 0; 0; 0
1838; 2082; 671; 0; 0; 10; 150; 0; 0; 0
1838; 2082; 671; 0; 0; 10; 150; 0; 0; 0
1813; 2042; 654; 0; 0; 10; 150; 0; 0; 0
1855; 2015; 656; 0; 0; 10; 150; 0; 0; 0
1946; 1998; 669; 0; 0; 9; 150; 0; 0; 0
1946; 1998; 669; 0; 0; 10; 149; 0; 0; 0
1935; 1978; 655; 0; 0; 10; 150; 0; 0; 0
1931; 1968; 645; 0; 0; 10; 150; 0; 0; 0
1923; 1975; 636; 0; 0; 10; 150; 0; 0; 0
1923; 1975; 636; 0; 0; 10; 150; 0; 0; 0
1915; 1982; 623; 0; 0; 10; 150; 0; 0; 0
1946; 2006; 624; 0; 0; 10; 150; 0; 0; 0
1901; 2040; 596; 0; 0; 10; 150; 0; 0; 0
1901; 2040; 596; 0; 0; 10; 150; 0; 0; 0
1925; 2071; 587; 0; 0; 10; 150; 0; 0; 0
1853; 2110; 558; 0; 0; 10; 150; 0; 0; 0
1891; 2161; 555; 0; 0; 10; 150; 0; 0; 0
1891; 2161; 555; 0; 0; 10; 150; 0; 0; 0
1829; 2193; 531; 0; 0; 10; 150; 0; 0; 0
1866; 2243; 538; 0; 0; 10; 150; 0; 0; 0
1921; 2279; 551; 0; 0; 10; 150; 0; 0; 0
1903; 2310; 539; 0; 0; 10; 150; 0; 0; 0
1903; 2310; 539; 0; 0; 10; 150; 0; 0; 0
1935; 2333; 543; 0; 0; 10; 150; 0; 0; 0
1917; 2347; 535; 0; 0; 10; 150; 0; 0; 0
1910; 2354; 526; 0; 0; 10; 150; 0; 0; 0
1910; 2354; 526; 0; 0; 10; 150; 0; 0; 0
1944; 2343; 537; 0; 0; 10; 150; 0; 0; 0
1962; 2329; 542; 0; 0; 10; 150; 0; 0; 0
1946; 2309; 543; 0; 0; 10; 150; 0; 0; 0
1946; 2309; 543; 0; 0; 10; 150; 0; 0; 0
1941; 2282; 540; 0; 0; 10; 150; 0; 0; 0
1945; 2248; 541; 0; 0; 10; 150; 0; 0; 0
1931; 2211; 542; 0; 0; 10; 150; 0; 0; 0
1931; 2211; 542; 0; 0; 10; 150; 0; 0; 0
1945; 2171; 545; 0; 0; 10; 150; 0; 0; 0
1951; 2137; 545; 0; 0; 10; 150; 0; 0; 0
1929; 2106; 544; 0; 0; 10; 150; 0; 0; 0
1929; 2106; 544; 0; 0; 10; 150; 0; 0; 0
1925; 2079; 542; 0; 0; 10; 150; 0; 0; 0
1912; 2059; 537; 0; 0; 10; 150; 0; 0; 0
1897; 2038; 539; 0; 0; 10; 150; 0; 0; 0
1897; 2038; 539; 0; 0; 10; 150; 0; 0; 0
1866; 2032; 524; 0; 0; 10; 150; 0; 0; 0
1848; 2028; 522; 0; 0; 10; 150; 0; 0; 0
1838; 2035; 519; 0; 0; 10; 150; 0; 0; 0
1838; 2035; 519; 0; 0; 10; 150; 0; 0; 0
1819; 2049; 513; 0; 0; 10; 150; 0; 0; 0
1806; 2073; 513; 0; 0; 10; 150; 0; 0; 0
1766; 2101; 501; 0; 0; 10; 150; 0; 0; 0
1766; 2101; 501; 0; 0; 10; 150; 0; 0; 0
1727; 2129; 489; 0; 0; 10; 150; 0; 0; 0
1736; 2167; 504; 0; 0; 10; 150; 0; 0; 0
1699; 2195; 488; 0; 0; 10; 150; 0; 0; 0
